Date,Close,High,Low,Open,Volume,Moving average - 20,Moving average - 50,Signal,Profit/Lost
2025-09-29,18.700000762939453,19.200000762939453,18.700000762939453,18.760000228881836,7552,18.716000175476076,18.96800006866455,0,0.0
2025-09-30,18.959999084472656,18.959999084472656,18.6200008392334,18.700000762939453,6740,18.71800012588501,18.984400062561036,0,0.0
2025-10-01,18.700000762939453,19.079999923706055,18.6200008392334,18.799999237060547,9707,18.7020001411438,18.99640007019043,0,0.0
2025-10-02,18.81999969482422,18.8799991607666,18.6200008392334,18.8799991607666,19149,18.683000087738037,19.01320007324219,0,0.0
2025-10-03,18.899999618530273,19.020000457763672,18.639999389648438,18.81999969482422,21224,18.68000011444092,19.034400062561033,0,0.0
2025-10-06,19.0,19.5,18.940000534057617,19.440000534057617,12323,18.6810001373291,19.052400054931642,0,0.0
2025-10-07,18.979999542236328,19.100000381469727,18.940000534057617,19.020000457763672,12607,18.695000076293944,19.077600059509276,0,0.0
2025-10-08,18.979999542236328,19.0,18.8799991607666,18.979999542236328,14698,18.733000087738038,19.101200065612794,0,0.0
2025-10-09,19.0,19.0,18.81999969482422,18.979999542236328,17173,18.788000106811523,19.111200065612792,0,0.0
2025-10-10,18.979999542236328,19.100000381469727,18.899999618530273,18.899999618530273,9480,18.827000045776366,19.11480007171631,0,0.0
2025-10-13,19.059999465942383,19.479999542236328,18.8799991607666,19.0,14920,18.844999980926513,19.121600074768068,0,0.0
2025-10-14,18.65999984741211,19.139999389648438,18.65999984741211,19.059999465942383,40473,18.842999935150146,19.12080005645752,0,0.0
2025-10-15,18.899999618530273,18.959999084472656,18.5,18.780000686645508,15920,18.848999881744383,19.12680004119873,0,0.0
2025-10-16,18.639999389648438,18.81999969482422,18.600000381469727,18.81999969482422,6549,18.83499984741211,19.1296000289917,0,0.0
2025-10-17,19.0,19.200000762939453,18.65999984741211,18.799999237060547,20112,18.849999809265135,19.131600036621094,0,0.0
2025-10-20,19.0,19.399999618530273,19.0,19.399999618530273,10056,18.864999771118164,19.13080001831055,0,0.0
2025-10-21,19.059999465942383,19.059999465942383,18.979999542236328,18.979999542236328,7088,18.88199977874756,19.126399993896484,0,0.0
2025-10-22,18.959999084472656,19.100000381469727,18.920000076293945,19.079999923706055,1654,18.894999694824218,19.123999977111815,0,0.0
2025-10-23,19.0,19.239999771118164,18.920000076293945,19.0,3942,18.908999729156495,19.123999977111815,0,0.0
2025-10-24,19.0,19.239999771118164,18.979999542236328,19.0,5283,18.914999771118165,19.109999961853028,0,0.0
2025-10-27,19.0,19.299999237060547,18.799999237060547,19.280000686645508,12903,18.92999973297119,19.095199966430663,0,0.0
2025-10-28,18.959999084472656,19.0,18.8799991607666,19.0,3488,18.92999973297119,19.058399963378907,0,0.0
2025-10-29,19.15999984741211,19.299999237060547,18.940000534057617,19.059999465942383,10751,18.952999687194826,19.001599960327148,0,0.0
2025-10-30,19.100000381469727,19.280000686645508,18.940000534057617,19.0,5985,18.9669997215271,18.959599952697754,1,0.0
2025-10-31,19.15999984741211,19.200000762939453,18.860000610351562,19.100000381469727,9033,18.97999973297119,18.918799934387206,1,0.05999946594238281
2025-11-03,19.059999465942383,19.399999618530273,19.0,19.100000381469727,12243,18.98299970626831,18.895999908447266,1,-0.10000038146972656
2025-11-04,19.579999923706055,19.639999389648438,19.0,19.0,20039,19.012999725341796,18.894799919128417,1,0.5200004577636719
2025-11-05,19.079999923706055,19.5,19.079999923706055,19.5,5277,19.017999744415285,18.89359992980957,1,-0.5
2025-11-06,19.18000030517578,19.18000030517578,18.920000076293945,19.020000457763672,8837,19.026999759674073,18.895599937438966,1,0.10000038146972656
2025-11-07,19.079999923706055,19.15999984741211,18.959999084472656,18.959999084472656,5052,19.031999778747558,18.891199951171874,1,-0.10000038146972656
2025-11-10,18.959999084472656,19.1200008392334,18.920000076293945,19.1200008392334,13403,19.026999759674073,18.88479991912842,1,-0.12000083923339844
2025-11-12,19.0,19.100000381469727,18.899999618530273,19.0,12131,19.043999767303468,18.88639991760254,1,0.04000091552734375
2025-11-13,19.059999465942383,19.079999923706055,18.8799991607666,18.8799991607666,9561,19.05199975967407,18.887199897766113,1,0.05999946594238281
2025-11-14,19.15999984741211,19.639999389648438,18.84000015258789,19.059999465942383,22555,19.077999782562255,18.886399879455567,1,0.10000038146972656
